sep=;
placeid; fullname; displayname; acname ; area; city; state; country; image; latittude; longitude
ChIJzTcogR9mUjoREqDnczXJK-c;Hotel Comfort, Chennai, Tamil Nadu, India;Hotel Comfort;hotel comfort;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0630234;80.27400250000005
ChIJf8GE8ghmUjoRl1uN5nUF4BY;Fortel, Chennai, Tamil Nadu, India;Fortel;fortel;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0781232;80.26389879999999
ChIJO2Rd3nJnUjoRyT-oFDcwfVE;Park Hyatt, Chennai, Tamil Nadu, India;Park Hyatt;park hyatt;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.010842;80.22345799999994
ChIJWSBQC-lmUjoRU-w5-YkMmCo;HOTEL AADITHYA, Chennai, Tamil Nadu, India;HOTEL AADITHYA;hotel aadithya;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0493519;80.21049530000005
ChIJYzuhHXVmUjoR4cYRGSztwc4;Hotel Abu Sarovar Portico, Chennai, Tamil Nadu, India;Hotel Abu Sarovar Portico;hotel abu sarovar portico;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0791752;80.25222350000001
ChIJ81R2EFBmUjoRN2__o99f2R4;Accord Metropolitan, Lakshimi Colony, Chennai, Tamil Nadu, India;Accord Metropolitan;accord metropolitan; Lakshimi Colony; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.046074;80.24257699999998
ChIJQXb0FDRnUjoR9lD2cBHYEew;Hotel Akash Inn, Chennai, Tamil Nadu, India;Hotel Akash Inn;hotel akash inn;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.015346;80.19212199999993
ChIJxb3aT-lmUjoRoej-YQZMbY4;Akshay Inn, Chennai, Tamil Nadu, India;Akshay Inn;akshay inn;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0512614;80.21612640000001
ChIJrV9qfUteUjoR1kJK_CZdxVE;Hotel Ambica Empire, Chennai, Tamil Nadu, India;Hotel Ambica Empire;hotel ambica empire;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0556275;80.21109479999996
ChIJm2ibPhpmUjoRjfhmlL34EVU;Hotel Ammu Palace, Chennai, Tamil Nadu, India;Hotel Ammu Palace;hotel ammu palace;__AREA__; Chennai; Tamil Nadu; India;images/hotels/H-101.jpg;13.0660166;80.26721769999995